1221, 2023/07/04, 1926, 2012, Wipers, 19.50, 2, 39.00, 39.00, 5.85, 25.35
1222, 2023/07/10, 1922, 1508, Oil change, 49.99, 1, 49.99, 49.99, 7.50, 57.49
1223, 2023/07/15, 1924, 1170, Tire, 312.49, 2, 624.98, 624.98, 93,75, 718.73
1224, 2023/07/16, 1925, 2310, Windshield wash, 3.50, 1, 3.50, 3.50, 0.53, 4.03
1225, 2023/07/18, 1930, 1511, Windshield repair kit, 25.00, 1, 25.00, 25.00, 3.75, 28.75
1226, 2023/07/18, 1931, 1007, Battery, 159.75, 1, 159.75, 159.75, 23.96, 183.71
1227, 2023/07/21, 1928, 2111, Wipers, 25.20, 2, 50.40, 50.40, 7.56, 57.96
1228, 2023/07/22, 1929, 1110, Oil, 14.00, 2, 28.00, 28.00, 4.20, 32.20
1229, 2023/07/24, 1930, 0989, Brake pads, 35.49, 4, 141.96, 141.96, 21.29, 163.25
1230, 2023/07/27, 1923, 5101, Paint scratch kit, 24.99, 1, 24.99, 24.99, 3.75, 28.74
1231, 2023/07/29, 1930, 1508, Oil change, 49.99, 1, 49.99, 49.99, 7.50, 57.49
1231, 2023/07/30, 1925, 0999, Detailing kit, 78.00, 1, 78.00, 78.00, 11.70, 89.70
