143, 2023/07/01, Monthly stand fee, 1922, 175.00, 26.25, 201.25
144, 2023/07/01, Monthly stand fee, 1928, 175.00, 26.25, 201.25
145, 2023/07/01, Monthly stand fee, 1929, 175.00, 26.25, 201.25
146, 2023/07/01, Monthly stand fee, 1923, 175.00, 26.25, 201.25
147, 2023/07/01, Monthly stand fee, 1930, 175.00, 26.25, 201.25
148, 2023/07/01, Monthly stand fee, 1924, 175.00, 26.25, 201.25
149, 2023/07/03, Weekly rental fee, 1926, 300.00, 45.00, 345.00
150, 2023/07/05, 3 days rental fee, 1927, 180.00, 27.00, 207.00
151, 2023/07/07, Weekly rental fee, 1925, 300.00, 45.00, 345.00
152, 2023/07/12, 4 days rental fee, 1931, 240.00, 36.00, 306.00
153, 2023/07/13, Daily rental fee, 1927, 60.00, 9.00, 69.00
154, 2023/07/13, 2 weeks rental fee, 1925, 600.00, 90.00, 690.00
155, 2023/07/17, Weekly rental fee, 1926, 300.00, 45.00, 345.00
156, 2023/07/19, Daily rental fee, 1931, 60.00, 9.00, 69.00
157, 2023/07/21, Weekly rental fee, 1926, 300.00, 45.00, 345.00
158, 2023/07/23, 2 days rental fee, 1931, 120.00, 18.00, 138.00
159, 2023/07/25, Weekly rental fee, 1926, 300.00, 45.00, 345.00
160, 2023/07/27, 2 Weeks rental fee, 1925, 600.00, 90.00, 690.00
